feature,mi
Sex_male,0.1678159768109957
Fare,0.1349139809219131
Title_Mr,0.13311198969169835
Title_Miss,0.05740261845903771
Title_Mrs,0.0495924322847201
FareBand,0.048542285587795275
Age,0.04573487812500532
AgeBin_Adult,0.04175136114514255
SibSp,0.039373196528833976
TicketPrefix_PC,0.034292082081346154
TicketPrefix_PP,0.02636550967474438
IsAlone,0.025760405130672348
Pclass,0.023585243258464228
TicketPrefix_SOTONO2,0.021966809352516492
TicketPrefix_Fa,0.021389846050043015
TicketPrefix_SOC,0.015530675402769312
FamilySize,0.015397673784830701
TicketPrefix_PPP,0.01415256273464105
Embarked_S,0.013341150039826166
TicketPrefix_SCPARIS,0.008485198919415904
AgeBin_Teen,0.007661943938953808
TicketPrefix_SCParis,0.007581986273588415
TicketPrefix_SC,0.007515809095433479
TicketPrefix_SOPP,0.006486601880581366
Parch,0.002845857045367106
TicketPrefix_LINE,0.0023218709524568393
TicketPrefix_A5,0.001991181206293602
TicketPrefix_WEP,0.0008747918966016677
TicketPrefix_AS,0.0006166896912829234
AgeBin_MidAge,0.00013246596976790315
